KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-10-28,1.2056,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-10-29,1.2059,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-10-30,1.2059,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-10-31,1.2067,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-03,1.2054,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-04,1.2055,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-05,1.2043,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-06,1.2045,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-07,1.204,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-10,1.2028,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-11,1.2024,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-12,1.2023,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-13,1.2018,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-14,1.2015,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-17,1.2013,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-18,1.2013,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-19,1.2014,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-20,1.2014,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-21,1.2024,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-24,1.2027,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-25,1.203,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-26,1.2026,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-27,1.2022,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-11-28,1.2018,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-01,1.2028,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-02,1.204,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-03,1.2032,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-04,1.2035,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-05,1.2021,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-08,1.2023,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-09,1.2021,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-10,1.2024,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
EXR.D.CHF.EUR.SP00.A,D,CHF,EUR,SP00,A,2014-12-11,1.2012,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Swiss franc/Euro ECB reference exchange rate,"ECB reference exchange rate, Swiss franc/Euro, 2.15 pm (C.E.T.)",CHF,0
